pod_name,timestamp,total,active,idle,gc_candidates,zombie
active-10,20250918_215918,1,1,0,0,0
active-11,20250918_215918,1,1,0,0,0
active-12,20250918_215918,1,1,0,0,0
active-13,20250918_215918,1,1,0,0,0
active-14,20250918_215919,1,1,0,0,0
active-15,20250918_215919,1,1,0,0,0
active-16,20250918_215919,1,1,0,0,0
active-17,20250918_215920,1,1,0,0,0
active-18,20250918_215921,1,1,0,0,0
active-19,20250918_215922,1,1,0,0,0
active-2,20250918_215922,1,1,0,0,0
active-20,20250918_215923,1,1,0,0,0
active-21,20250918_215923,1,1,0,0,0
active-22,20250918_215923,1,1,0,0,0
active-23,20250918_215923,1,1,0,0,0
active-24,20250918_215923,1,1,0,0,0
active-25,20250918_215923,1,1,0,0,0
active-26,20250918_215924,1,1,0,0,0
active-27,20250918_215924,1,1,0,0,0
active-28,20250918_215924,1,1,0,0,0
active-29,20250918_215924,1,1,0,0,0
active-3,20250918_215925,1,1,0,0,0
active-30,20250918_215925,1,1,0,0,0
active-31,20250918_215925,1,1,0,0,0
active-32,20250918_215926,1,1,0,0,0
active-33,20250918_215926,1,1,0,0,0
active-34,20250918_215927,1,1,0,0,0
active-35,20250918_215927,1,1,0,0,0
active-36,20250918_215928,1,1,0,0,0
active-37,20250918_215928,1,1,0,0,0
active-38,20250918_215928,1,1,0,0,0
active-39,20250918_215929,1,1,0,0,0
active-4,20250918_215929,1,1,0,0,0
active-40,20250918_215930,1,1,0,0,0
active-41,20250918_215930,1,1,0,0,0
active-42,20250918_215930,1,1,0,0,0
active-43,20250918_215931,1,1,0,0,0
active-44,20250918_215931,1,1,0,0,0
active-45,20250918_215931,1,1,0,0,0
active-46,20250918_215932,1,1,0,0,0
active-47,20250918_215932,1,1,0,0,0
active-48,20250918_215933,1,1,0,0,0
active-49,20250918_215933,1,1,0,0,0
active-5,20250918_215933,1,1,0,0,0
active-50,20250918_215934,1,1,0,0,0
active-51,20250918_215934,1,1,0,0,0
active-52,20250918_215935,1,1,0,0,0
active-53,20250918_215936,1,1,0,0,0
